"auth.name","2014","2015","2016","2017","2018"
"Aberdeen City",18.7868270332188,17.5099478919943,20.0614427860697,20.6797546742884,17.5738340322786
"Argyll and Bute",23.1553233830846,24.5947658402204,38.3381083562902,17.7737642585551,17.6760705289673
"Dundee City",19.3459752321981,24.7992865105909,27.040815782458,24.8696505692972,17.1450389105058
"East Ayrshire",16.7891493636973,13.392997382199,13.7558659217877,10.3851727447217,21.129234167894
"East Dunbartonshire",NA,NA,77.9413043478261,53.0798761609907,34.969205834684
"East Lothian",NA,NA,33.5357142857143,60.8506550218341,65.4917012448133
"East Renfrewshire",99.2431279620853,98.7962085308057,97.9481481481481,98.6725388601036,92.9691542288557
"Edinburgh City",19.801235807523,18.8834909064665,18.5569458225838,18.1327742965966,16.2946738093039
"Fife",17.7279830405815,16.8768762677485,17.6730025959042,16.3809164571109,15.8661510225485
"Glasgow City",24.1079278779473,20.4092524321557,23.7871949710439,22.0092402668525,26.0401482556633
"Highland",NA,NA,3.88842975206612,11.7546423811639,12.0281347962382
"Inverclyde",84.4394904458599,84.6335365853659,81.5189610389611,70.5265151515152,81.2575936883629
"Perth and Kinross",11.8730109739369,10.3773459383754,10.7830292598967,16.0188527131783,16.5815284827975
"Renfrewshire",21.8986829727187,20.4146341463415,15.504752851711,17.6120470127326,15.1761111111111
"South Ayrshire",33.0285161290323,NA,16.6598146588037,21.7557562076749,22.3090188305253
"South Lanarkshire",31.9290661990355,30.3328188464663,32.1488095238095,30.690021978022,31.4993481095176
"Scottish DPE authorties",19.6825723003449,18.9636280636782,20.0028482507236,19.9554554214136,19.9767983377374
"London",40.3615721304768,49.293298662975,42.0115310284194,43.125987207721,45.0984253071965
"England without London",10.8661561623561,11.4887200375256,12.7618887614874,13.7700928213887,12.2831540430281
